layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.5.intermediate.dense,FAIL,0.0,3.007117748260498,3,8,8,"[0.0, 0.0, 0.01978234015405178, 86.6916732788086, 87.00078582763672, 88.51912689208984, 88.93309783935547, 89.6616439819336]"
base_model.model.bert.encoder.layer.5.output.dense,FAIL,0.0,3.028917074203491,3,8,8,"[0.0, 0.03956468030810356, 0.044234659522771835, 82.9267349243164, 84.88780975341797, 86.41431427001953, 87.56401824951172, 89.43669128417969]"
base_model.model.bert.encoder.layer.6.attention.output.dense,FAIL,0.0,3.0376436710357666,3,8,8,"[0.0, 0.0, 0.044234659522771835, 81.83456420898438, 84.47258758544922, 85.35906219482422, 87.67869567871094, 89.86529541015625]"
base_model.model.bert.encoder.layer.6.attention.self.key,FAIL,0.0,3.0346081256866455,3,8,8,"[0.0, 0.0, 0.01978234015405178, 82.25064086914062, 83.66451263427734, 86.86032104492188, 88.12550354003906, 89.234130859375]"
base_model.model.bert.encoder.layer.6.attention.self.query,FAIL,0.027976454840372228,3.0427606105804443,3,8,8,"[0.02797645516693592, 0.03956468030810356, 0.05595291033387184, 81.98033905029297, 83.5973892211914, 84.5093765258789, 87.78213500976562, 89.17024993896484]"
base_model.model.bert.encoder.layer.6.attention.self.value,FAIL,0.0,3.041480779647827,3,8,8,"[0.0, 0.01978234015405178, 0.03426402062177658, 80.22218322753906, 85.33866882324219, 86.20101165771484, 87.68975830078125, 89.7441177368164]"
base_model.model.bert.encoder.layer.6.intermediate.dense,FAIL,0.0,3.009599447250366,3,8,8,"[0.0, 0.044234659522771835, 0.05595291033387184, 86.08570098876953, 87.31108093261719, 88.05970001220703, 88.2441635131836, 88.53418731689453]"
base_model.model.bert.encoder.layer.6.output.dense,FAIL,0.0,3.0585052967071533,3,8,8,"[0.0, 0.01978234015405178, 0.02797645516693592, 80.4990234375, 81.66351318359375, 85.12344360351562, 86.8600845336914, 89.81438446044922]"
base_model.model.bert.encoder.layer.7.attention.output.dense,FAIL,0.027976454840372228,3.031912326812744,3,8,8,"[0.02797645516693592, 0.02797645516693592, 0.05934702605009079, 82.80127716064453, 83.99409484863281, 86.0907974243164, 88.619873046875, 89.659912109375]"
base_model.model.bert.encoder.layer.7.attention.self.key,FAIL,0.03426402083239251,3.0248849391937256,3,8,8,"[0.03426402062177658, 0.03956468030810356, 0.06852804124355316, 82.29508972167969, 85.76142883300781, 87.9521484375, 89.3197021484375, 89.68111419677734]"
base_model.model.bert.encoder.layer.7.attention.self.query,FAIL,0.0,3.042894124984741,3,8,8,"[0.0, 0.0, 0.03956468030810356, 81.40144348144531, 83.65901947021484, 85.3806381225586, 87.56866455078125, 89.5677719116211]"
base_model.model.bert.encoder.layer.7.attention.self.value,FAIL,0.0,3.0280916690826416,3,8,8,"[0.0, 0.01978234015405178, 0.05595291033387184, 83.0832748413086, 84.83999633789062, 86.07990264892578, 88.40735626220703, 89.5751953125]"
base_model.model.bert.encoder.layer.7.intermediate.dense,FAIL,0.01978234059262607,3.0086729526519775,3,8,8,"[0.01978234015405178, 0.02797645516693592, 0.03426402062177658, 86.12288665771484, 87.16363525390625, 88.1880874633789, 88.66287231445312, 89.40364074707031]"
base_model.model.bert.encoder.layer.7.output.dense,FAIL,0.0,3.032223701477051,3,8,8,"[0.0, 0.0, 0.03426402062177658, 82.7135238647461, 84.30994415283203, 86.10578155517578, 87.64283752441406, 89.8840103149414]"
base_model.model.bert.encoder.layer.8.attention.output.dense,FAIL,0.0,3.0361781120300293,3,8,8,"[0.0, 0.0, 0.01978234015405178, 82.0788345336914, 83.82026672363281, 85.80657958984375, 89.10002899169922, 89.89786529541016]"
base_model.model.bert.encoder.layer.8.attention.self.key,FAIL,0.0,3.047213554382324,3,8,8,"[0.0, 0.0, 0.0, 79.86144256591797, 83.34684753417969, 87.4410400390625, 88.3768539428711, 89.84847259521484]"
base_model.model.bert.encoder.layer.8.attention.self.query,FAIL,0.0,3.032639265060425,3,8,8,"[0.0, 0.0, 0.0, 82.5029296875, 84.2320556640625, 86.09859466552734, 88.53730010986328, 89.12507629394531]"
base_model.model.bert.encoder.layer.8.attention.self.value,FAIL,0.0,3.0437254905700684,3,8,8,"[0.0, 0.0, 0.0, 80.86565399169922, 84.30644226074219, 85.13656616210938, 87.81442260742188, 89.6400375366211]"
base_model.model.bert.encoder.layer.8.intermediate.dense,FAIL,0.0,3.007054090499878,3,8,8,"[0.0, 0.0, 0.01978234015405178, 86.7121353149414, 87.1643295288086, 88.1508560180664, 89.15196990966797, 89.56808471679688]"
base_model.model.bert.encoder.layer.8.output.dense,FAIL,0.0,3.02689266204834,3,8,8,"[0.0, 0.02797645516693592, 0.044234659522771835, 83.11502838134766, 85.72400665283203, 86.48353576660156, 86.79602813720703, 89.49565887451172]"
base_model.model.bert.encoder.layer.9.attention.output.dense,FAIL,0.0,3.0357367992401123,3,8,8,"[0.0, 0.0, 0.0, 82.5029067993164, 84.03412628173828, 85.24252319335938, 88.23639678955078, 89.48052215576172]"
base_model.model.bert.encoder.layer.9.attention.self.key,FAIL,0.0,3.027168035507202,3,8,8,"[0.0, 0.0, 0.0, 83.6762924194336, 85.06221008300781, 85.70020294189453, 87.44851684570312, 89.72088623046875]"
base_model.model.bert.encoder.layer.9.attention.self.query,FAIL,0.0,3.0412936210632324,3,8,8,"[0.0, 0.0, 0.02797645516693592, 80.27738952636719, 85.02360534667969, 86.5503921508789, 87.82696533203125, 89.2109146118164]"
base_model.model.bert.encoder.layer.9.attention.self.value,FAIL,0.0,3.0442583560943604,3,8,8,"[0.0, 0.01978234015405178, 0.02797645516693592, 82.34095001220703, 83.99860382080078, 84.61177062988281, 85.53666687011719, 88.49528503417969]"
base_model.model.bert.encoder.layer.9.intermediate.dense,FAIL,0.0,3.0037972927093506,3,8,8,"[0.0, 0.0, 0.0, 87.56448364257812, 88.23848724365234, 88.51476287841797, 88.89232635498047, 89.98764038085938]"
base_model.model.bert.encoder.layer.9.output.dense,FAIL,0.0,3.0280401706695557,3,8,8,"[0.0, 0.01978234015405178, 0.02797645516693592, 83.37251281738281, 85.75785064697266, 86.13371276855469, 86.3029556274414, 88.66374206542969]"
base_model.model.bert.pooler.dense,FAIL,0.0,3.05059552192688,3,8,8,"[0.0, 0.0, 0.03956468030810356, 79.9585189819336, 82.9406967163086, 86.03736114501953, 89.10531616210938, 89.5225830078125]"
