layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.6.attention.self.key,FAIL,64.95859606367631,0.40479734539985657,2,8,8,"[64.9585952758789, 72.28309631347656, 75.59635162353516, 79.02623748779297, 82.4803237915039, 83.37298583984375, 87.15067291259766, 87.43644714355469]"
base_model.model.bert.encoder.layer.6.attention.self.query,FAIL,66.49008840013325,0.3189244866371155,1,8,8,"[66.4900894165039, 75.43296813964844, 77.98226165771484, 81.2774887084961, 82.69729614257812, 84.21428680419922, 86.5870590209961, 88.96839904785156]"
base_model.model.bert.encoder.layer.6.attention.self.value,FAIL,55.7285926080229,0.6320390701293945,3,8,8,"[55.72859191894531, 64.06023406982422, 74.98323822021484, 79.55708312988281, 83.24168395996094, 84.77547454833984, 87.96294403076172, 89.17233276367188]"
base_model.model.bert.encoder.layer.6.intermediate.dense,FAIL,69.40545902470481,0.1980583816766739,1,8,8,"[69.40545654296875, 79.6496353149414, 81.96927642822266, 83.08402252197266, 85.94747924804688, 87.5574951171875, 88.26051330566406, 89.00814056396484]"
base_model.model.bert.encoder.layer.6.output.dense,FAIL,50.16848394436319,0.7730521559715271,3,8,8,"[50.16848373413086, 64.7728042602539, 69.95508575439453, 78.88492584228516, 82.0794677734375, 85.52899932861328, 87.91326141357422, 89.49159240722656]"
base_model.model.bert.encoder.layer.7.attention.output.dense,FAIL,51.274264250231575,0.9373782873153687,3,8,8,"[51.27426528930664, 55.38813400268555, 69.8443832397461, 77.53829193115234, 79.55412292480469, 81.779052734375, 86.0776138305664, 89.48640441894531]"
base_model.model.bert.encoder.layer.7.attention.self.key,FAIL,56.2288424930238,0.6314626932144165,2,8,8,"[56.228843688964844, 64.4543228149414, 76.17382049560547, 78.75509643554688, 80.65264892578125, 83.54420471191406, 87.23167419433594, 89.79684448242188]"
base_model.model.bert.encoder.layer.7.attention.self.query,FAIL,64.77015114447566,0.42820048332214355,3,8,8,"[64.77014923095703, 68.71437072753906, 74.7958984375, 81.01390838623047, 83.81954956054688, 84.43535614013672, 88.8117904663086, 89.3482437133789]"
base_model.model.bert.encoder.layer.7.attention.self.value,FAIL,57.455708392498174,0.6789034008979797,3,8,8,"[57.45570755004883, 64.53288269042969, 68.6844253540039, 79.46748352050781, 82.20992279052734, 83.39945220947266, 85.12921142578125, 89.05130767822266]"
base_model.model.bert.encoder.layer.7.intermediate.dense,FAIL,67.90966125685036,0.30874505639076233,2,8,8,"[67.90966033935547, 70.30390930175781, 81.08174133300781, 82.69742584228516, 84.04299926757812, 87.25273132324219, 88.77891540527344, 89.76924896240234]"
base_model.model.bert.encoder.layer.7.output.dense,FAIL,51.004246381773456,0.9948198795318604,3,8,8,"[51.00424575805664, 52.8760871887207, 70.0493392944336, 76.31682586669922, 77.97119140625, 83.42031860351562, 86.4316635131836, 87.58946228027344]"
base_model.model.bert.encoder.layer.8.attention.output.dense,FAIL,47.113907234317594,1.2199684381484985,5,8,8,"[47.11390686035156, 59.7667236328125, 62.24168395996094, 65.84898376464844, 71.58361053466797, 82.24052429199219, 88.29638671875, 89.54747772216797]"
base_model.model.bert.encoder.layer.8.attention.self.key,FAIL,54.656608078167736,1.0405957698822021,4,8,8,"[54.65660858154297, 55.79102325439453, 59.76655960083008, 74.91710662841797, 76.96973419189453, 83.50564575195312, 86.54845428466797, 87.87400817871094]"
