layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.7.attention.self.key,FAIL,0.0,3.0379655361175537,3,8,8,"[0.0, 0.03426402062177658, 0.03956468030810356, 80.97344207763672, 84.55430603027344, 86.49588775634766, 88.85172271728516, 89.1751937866211]"
base_model.model.bert.encoder.layer.7.attention.self.query,FAIL,0.0,3.035521984100342,3,8,8,"[0.0, 0.0, 0.02797645516693592, 81.60696411132812, 85.03933715820312, 85.64051818847656, 88.23776245117188, 89.77596282958984]"
base_model.model.bert.encoder.layer.7.attention.self.value,FAIL,0.0,3.046830415725708,3,8,8,"[0.0, 0.0, 0.01978234015405178, 80.50164794921875, 83.44917297363281, 86.11885070800781, 87.43590545654297, 89.97227478027344]"
base_model.model.bert.encoder.layer.7.intermediate.dense,FAIL,0.0,3.006263256072998,3,8,8,"[0.0, 0.0, 0.0, 86.77083587646484, 87.35482788085938, 88.45514678955078, 89.13053131103516, 89.91255950927734]"
base_model.model.bert.encoder.layer.7.output.dense,FAIL,0.0,3.023979902267456,3,8,8,"[0.0, 0.0, 0.0, 83.6114273071289, 85.15591430664062, 86.75935363769531, 88.23897552490234, 88.96285247802734]"
base_model.model.bert.encoder.layer.8.attention.output.dense,FAIL,0.0,3.0314114093780518,3,8,8,"[0.0, 0.01978234015405178, 0.02797645516693592, 81.88776397705078, 84.84857177734375, 87.0809097290039, 88.35609436035156, 89.7452392578125]"
base_model.model.bert.encoder.layer.8.attention.self.key,FAIL,0.0,3.0228328704833984,3,8,8,"[0.0, 0.02797645516693592, 0.03956468030810356, 83.82184600830078, 85.29122924804688, 86.6959228515625, 88.0238037109375, 89.92603302001953]"
base_model.model.bert.encoder.layer.8.attention.self.query,FAIL,0.0,3.0317654609680176,3,8,8,"[0.0, 0.0, 0.01978234015405178, 81.60218811035156, 85.61009216308594, 86.74617767333984, 88.05896759033203, 89.17224884033203]"
base_model.model.bert.encoder.layer.8.attention.self.value,FAIL,0.0,3.0286705493927,3,8,8,"[0.0, 0.02797645516693592, 0.02797645516693592, 83.12741088867188, 84.08777618408203, 87.38916778564453, 87.66588592529297, 89.82860565185547]"
base_model.model.bert.encoder.layer.8.intermediate.dense,FAIL,0.0,3.006610155105591,3,8,8,"[0.0, 0.0, 0.0, 86.97257232666016, 87.2967758178711, 87.87911987304688, 89.22467803955078, 89.62508392333984]"
base_model.model.bert.encoder.layer.8.output.dense,FAIL,0.0,3.0345335006713867,3,8,8,"[0.0, 0.0, 0.0, 82.2533187866211, 85.02074432373047, 86.10694885253906, 86.8629379272461, 87.9936294555664]"
base_model.model.bert.encoder.layer.9.attention.output.dense,FAIL,0.0,3.023439884185791,3,8,8,"[0.0, 0.0, 0.02797645516693592, 82.84669494628906, 86.20051574707031, 86.68462371826172, 89.23101043701172, 89.7631607055664]"
base_model.model.bert.encoder.layer.9.attention.self.key,FAIL,0.0,3.024777889251709,3,8,8,"[0.0, 0.0, 0.02797645516693592, 83.81635284423828, 84.73292541503906, 86.76013946533203, 88.06133270263672, 88.8402099609375]"
base_model.model.bert.encoder.layer.9.attention.self.query,FAIL,0.027976454840372228,3.028242588043213,3,8,8,"[0.02797645516693592, 0.02797645516693592, 0.02797645516693592, 82.86734008789062, 85.41665649414062, 86.2505111694336, 87.63652038574219, 88.7669906616211]"
base_model.model.bert.encoder.layer.9.attention.self.value,FAIL,0.0,3.0288479328155518,3,8,8,"[0.0, 0.0, 0.02797645516693592, 83.48220825195312, 84.66749572753906, 85.74147033691406, 87.65192413330078, 89.3420639038086]"
base_model.model.bert.encoder.layer.9.intermediate.dense,FAIL,0.0,3.004666805267334,3,8,8,"[0.0, 0.0, 0.03426402062177658, 87.05451965332031, 88.01811218261719, 88.56233978271484, 89.18898010253906, 89.9561767578125]"
base_model.model.bert.encoder.layer.9.output.dense,FAIL,0.0,3.025458574295044,3,8,8,"[0.0, 0.02797645516693592, 0.02797645516693592, 82.42938232421875, 85.48149108886719, 87.71759796142578, 89.06059265136719, 89.6428451538086]"
base_model.model.bert.pooler.dense,FAIL,0.027976454840372228,3.0370280742645264,3,8,8,"[0.02797645516693592, 0.02797645516693592, 0.03956468030810356, 81.18926239013672, 84.38302612304688, 87.32617950439453, 87.56280517578125, 89.91581726074219]"
